============================================
HiSplat + per-stage MSH training
Repo: /ceph_data/clue9986/HiSplatMSH
Phase: warmup
Lambda RD: 0.2
Pretrained ckpt: checkpoints/hisplat_re10k.ckpt
Max steps: 15000
Batch size/GPU: 2
Val interval/check epoch: 100000 / null
Checkpoint interval/top-k: 5000 / -1
SH degree: 4
Codec stage N: [192,192,192]
Codec stage M: [320,320,320]
Codec stage depth: [2,4,4]
Codec train mode: full
Codec input: proj
LR codec/aux/generator: 1.0e-4 / 1.0e-5 / 2.0e-5
Codec LR warmup: 200 steps from factor 0.1
Codec recon weight: 0.0
Codec warmup bypass: false
Output: licsweep_probe_l0.2_M320_d244_v2
Extra Hydra args: <none>
============================================
[36mSaving outputs to /ceph_data/clue9986/HiSplatMSH/outputs/licsweep_probe_l0.2_M320_d244_v2.[39m
GPU number is 1
missing keys:[]
unexpected keys:[]
error msgs:[]
!!!Successfully load the DINOV2 ckpt from ./checkpoints/dinov2_vitb14_pretrain.pth
==> Load multi-view transformer backbone checkpoint: checkpoints/gmdepth-scale1-resumeflowthings-scannet-5d9d7964.pth
[36mInitialized new codec params: 357 missing checkpoint keys.[39m
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /ceph_data/clue9986/anaconda3/envs/hisplat/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
begin to train fit!
start training without trainer-state resume!!!
train step[0/15000] ; used: 0s; eta: 1s; loss = 0.260778; ['mse_0=0.003408; ', 'lpips_0=0.018442; ', 'codec_recon_0=1.008120; ', 'estimated_kb_0=15.092593; ', 'bpp_0=0.087748; ', 'mse_1=0.003217; ', 'lpips_1=0.014758; ', 'codec_recon_1=1.000296; ', 'estimated_kb_1=3.600059; ', 'bpp_1=0.004186; ', 'mse_2=0.002980; ', 'lpips_2=0.012115; ', 'codec_recon_2=1.024997; ', 'estimated_kb_2=14.244671; ', 'bpp_2=0.003944; ']
train step[1/15000] ; used: 12s; eta: 1d:2h:6m:8s; loss = 0.255539; ['mse_0=0.004506; ', 'lpips_0=0.016143; ', 'codec_recon_0=1.008504; ', 'estimated_kb_0=15.084059; ', 'bpp_0=0.087698; ', 'mse_1=0.003878; ', 'lpips_1=0.012025; ', 'codec_recon_1=1.000154; ', 'estimated_kb_1=3.579215; ', 'bpp_1=0.004162; ', 'mse_2=0.003473; ', 'lpips_2=0.009673; ', 'codec_recon_2=1.038952; ', 'estimated_kb_2=14.271284; ', 'bpp_2=0.003951; ']
train step[2/15000] ; used: 13s; eta: 18h:57m:19s; loss = 0.282528; ['mse_0=0.008243; ', 'lpips_0=0.021640; ', 'codec_recon_0=0.999157; ', 'estimated_kb_0=15.587553; ', 'bpp_0=0.090625; ', 'mse_1=0.007134; ', 'lpips_1=0.017077; ', 'codec_recon_1=1.002012; ', 'estimated_kb_1=3.617507; ', 'bpp_1=0.004206; ', 'mse_2=0.005995; ', 'lpips_2=0.012864; ', 'codec_recon_2=1.016139; ', 'estimated_kb_2=14.326835; ', 'bpp_2=0.003966; ']
train step[3/15000] ; used: 14s; eta: 15h:14m; loss = 0.301994; ['mse_0=0.012186; ', 'lpips_0=0.023332; ', 'codec_recon_0=1.000158; ', 'estimated_kb_0=15.578599; ', 'bpp_0=0.090573; ', 'mse_1=0.011363; ', 'lpips_1=0.019770; ', 'codec_recon_1=1.001963; ', 'estimated_kb_1=3.617728; ', 'bpp_1=0.004207; ', 'mse_2=0.010149; ', 'lpips_2=0.015822; ', 'codec_recon_2=1.023918; ', 'estimated_kb_2=14.303275; ', 'bpp_2=0.003960; ']
train step[4/15000] ; used: 15s; eta: 13h:1m:39s; loss = 0.269783; ['mse_0=0.006526; ', 'lpips_0=0.019824; ', 'codec_recon_0=1.001340; ', 'estimated_kb_0=15.351570; ', 'bpp_0=0.089253; ', 'mse_1=0.005555; ', 'lpips_1=0.014860; ', 'codec_recon_1=1.002200; ', 'estimated_kb_1=3.613914; ', 'bpp_1=0.004202; ', 'mse_2=0.004662; ', 'lpips_2=0.010812; ', 'codec_recon_2=1.022365; ', 'estimated_kb_2=14.241458; ', 'bpp_2=0.003943; ']
train step[5/15000] ; used: 16s; eta: 11h:32m:12s; loss = 0.270597; ['mse_0=0.006488; ', 'lpips_0=0.020427; ', 'codec_recon_0=1.001451; ', 'estimated_kb_0=15.281879; ', 'bpp_0=0.088848; ', 'mse_1=0.005826; ', 'lpips_1=0.014819; ', 'codec_recon_1=1.002778; ', 'estimated_kb_1=3.612407; ', 'bpp_1=0.004200; ', 'mse_2=0.005294; ', 'lpips_2=0.010657; ', 'codec_recon_2=1.019168; ', 'estimated_kb_2=14.239492; ', 'bpp_2=0.003942; ']
train step[6/15000] ; used: 17s; eta: 10h:28m:7s; loss = 0.293792; ['mse_0=0.010433; ', 'lpips_0=0.023545; ', 'codec_recon_0=0.999918; ', 'estimated_kb_0=15.390055; ', 'bpp_0=0.089477; ', 'mse_1=0.009149; ', 'lpips_1=0.020148; ', 'codec_recon_1=1.002771; ', 'estimated_kb_1=3.604036; ', 'bpp_1=0.004191; ', 'mse_2=0.007854; ', 'lpips_2=0.014952; ', 'codec_recon_2=1.023240; ', 'estimated_kb_2=14.239899; ', 'bpp_2=0.003942; ']
train step[7/15000] ; used: 18s; eta: 9h:40m:26s; loss = 0.265150; ['mse_0=0.005620; ', 'lpips_0=0.019217; ', 'codec_recon_0=1.003882; ', 'estimated_kb_0=15.096521; ', 'bpp_0=0.087770; ', 'mse_1=0.004832; ', 'lpips_1=0.014622; ', 'codec_recon_1=1.002516; ', 'estimated_kb_1=3.589773; ', 'bpp_1=0.004174; ', 'mse_2=0.004279; ', 'lpips_2=0.010801; ', 'codec_recon_2=1.025417; ', 'estimated_kb_2=14.238230; ', 'bpp_2=0.003942; ']
train step[8/15000] ; used: 19s; eta: 9h:3m:15s; loss = 0.263087; ['mse_0=0.006199; ', 'lpips_0=0.017992; ', 'codec_recon_0=1.002036; ', 'estimated_kb_0=15.254498; ', 'bpp_0=0.088689; ', 'mse_1=0.005347; ', 'lpips_1=0.012692; ', 'codec_recon_1=1.001683; ', 'estimated_kb_1=3.587871; ', 'bpp_1=0.004172; ', 'mse_2=0.004776; ', 'lpips_2=0.009467; ', 'codec_recon_2=1.025906; ', 'estimated_kb_2=14.215855; ', 'bpp_2=0.003936; ']
train step[9/15000] ; used: 20s; eta: 8h:34m:37s; loss = 0.283111; ['mse_0=0.008936; ', 'lpips_0=0.022474; ', 'codec_recon_0=1.000577; ', 'estimated_kb_0=15.327460; ', 'bpp_0=0.089113; ', 'mse_1=0.008065; ', 'lpips_1=0.017148; ', 'codec_recon_1=1.001179; ', 'estimated_kb_1=3.581470; ', 'bpp_1=0.004164; ', 'mse_2=0.007224; ', 'lpips_2=0.012220; ', 'codec_recon_2=1.024097; ', 'estimated_kb_2=14.218328; ', 'bpp_2=0.003936; ']
train step[10/15000] ; used: 21s; eta: 8h:10m:12s; loss = 0.263348; ['mse_0=0.004358; ', 'lpips_0=0.020227; ', 'codec_recon_0=1.003249; ', 'estimated_kb_0=15.109499; ', 'bpp_0=0.087846; ', 'mse_1=0.003698; ', 'lpips_1=0.015104; ', 'codec_recon_1=1.001316; ', 'estimated_kb_1=3.575793; ', 'bpp_1=0.004158; ', 'mse_2=0.003234; ', 'lpips_2=0.011018; ', 'codec_recon_2=1.031133; ', 'estimated_kb_2=14.228032; ', 'bpp_2=0.003939; ']
