category,run_name,recon_w,lambda,train_steps,psnr,ssim,lpips,compressed_kb,kb_type,eval_jid,note
baseline_ceiling,vanilla_hisplat,,,,27.194,0.8817,0.1170,,none,344145,no codec; horizontal ceiling line
main_rd,warmstart_l0_cont100k,0.3,0.0,100000,27.014,0.8784,0.1217,1061.0,real,346719,headline lambda=0 point (cont 70k->100k); also matches bypass eval
main_rd,warmstart_l0.0001_recon0.01,0.01,0.0001,65000,26.912,0.8765,0.1230,119.55,real,347859,safety; 70k ckpt save failed so 65k ckpt used
main_rd,warmstart_l0.0003_recon0.01,0.01,0.0003,65000,26.902,0.8764,0.1234,87.87,real,347860,safety; 70k ckpt save failed so 65k ckpt used
main_rd,warmstart_l0.0005_recon0.01,0.01,0.0005,65000,26.893,0.8762,0.1237,72.51,real,347861,safety; 70k ckpt save failed so 65k ckpt used
main_rd,warmstart_l0.0007_recon0.01,0.01,0.0007,70000,26.892,0.8763,0.1238,62.23,real,347552,safety; original no-safety l=0.0007 (347178) exploded at step 5452
main_rd,warmstart_l0.001_recon0.01,0.01,0.001,70000,26.878,0.8761,0.1243,51.91,real,346720,l0.001 retrain with recon_w=0.01+LR_AUX=1e-3 safety (F7 fragile zone defeated)
main_rd,warmstart_l0.003,0.0,0.003,70000,26.542,0.8698,0.1327,10.43,real,346329,
main_rd,warmstart_l0.007,0.0,0.007,70000,26.428,0.8673,0.1359,6.64,real,346330,
main_rd,warmstart_l0.012,0.0,0.012,70000,26.354,0.8658,0.1379,4.94,real,346331,
main_rd,warmstart_l0.02,0.0,0.02,70000,26.269,0.8642,0.1404,3.64,real,346332,
comparison_50k_fresh,fresh_l0,0.0,0.0,50000,26.616,0.8707,0.1300,491.62,real,345537,F4
comparison_50k_fresh,fresh_l0.001,0.0,0.001,50000,26.500,0.8687,0.1336,16.96,real,345554,F4
comparison_50k_fresh,fresh_l0.003,0.0,0.003,50000,26.415,0.8669,0.1360,9.45,real,345534,F4
comparison_50k_fresh,fresh_l0.007,0.0,0.007,50000,26.350,0.8657,0.1378,6.25,real,345555,F4
comparison_50k_fresh,fresh_l0.012,0.0,0.012,50000,26.199,0.8630,0.1418,3.23,real,345553,F4
comparison_50k_fresh,fresh_l0.02,0.0,0.02,50000,26.085,0.8614,0.1445,1.91,real,345552,F4
recon_w_ablation,warmstart_recon0.0,0.0,0.0,70000,26.835,0.8753,0.1244,640.5,real,346327,Figure 2 baseline
recon_w_ablation,warmstart_recon0.01,0.01,0.0,70000,26.911,0.8767,0.1227,893.1,real,346333,
recon_w_ablation,warmstart_recon0.03,0.03,0.0,70000,26.947,0.8773,0.1223,957.9,real,346334,
